No.;var00001;Substituent;Backbone length;Backbone;Substitution energy;homo;lumo;pa;homo2;lumo2;pa2;he.w.pn;nhe;be.gla;ml.gla;dmd.gla;d.d1rgla;d.d2rgla;drd1rgla;drd2rgla;nbo.glaf;be.pd;ml.pd;dmd.pd;d.d1r.pd;d.d2r.pd;d.rd1rpd;d.rd2rpd;nbo.pd.f;dppd.d1;dppd.d2;dpzn.d1;dpzn.d2;kmeansPCA;hiePCA;kmeansUMAP;hieUMAP;kmeansTSNE;hieTSNE;kmeansUMAP(n10);hieUMAP(n10);kmeansUMAP(n15);hieUMAP(n15);;;;;;;;;;;;;;;;;;
1;1;Me;3;A;-2.89;-0.1905;0.0327;233;-0.1905;0.0327;233;12.5206;12.2388;27.7596;2.256;68;-0.016;-0.016;4.8;4.6;-0.1207;82.064;2.371;75.5;-0.019;-0.019;8.1;8;-0.8209;-0.003;-0.001;0.002;0.01;0;1;2;4;1;1;4;4;4;0;;;;;;;;;;;;;;;;;;
2;1;tBu;3;A;-2.07;-0.1788;0.0225;245.67;-0.1788;0.0225;245.67;27.7389;27.3041;30.579;2.282;71.3;0;0;4.1;4.2;-0.1105;85.1526;2.385;77.2;0;-0.001;4.7;4.7;-0.8062;0.034;0.033;-0.002;-0.009;1;1;2;4;1;1;0;4;2;0;;;;;;;;;;;;;;;;;;
3;4;OMe;3;A;-9.09;-0.2013;0.0043;227.36;-0.2013;0.0043;227.36;11.0516;10.4724;23.837;2.253;65.3;-0.027;-0.025;4.8;4.1;-0.1492;81.8688;2.37;73;-0.036;-0.032;6.4;6.1;-0.8141;0.004;-0.003;-0.019;0.046;0;1;2;4;1;1;4;4;4;0;;;;;;;;;;;;;;;;;;
4;4;OPh;3;A;-1.18;-0.19974;-0.0381;226.114;-0.19974;-0.0381;226.114;9.90763;10.0093;17.8864;2.237;64.6;-0.019;-0.026;3.4;3.4;-0.0957;66.8393;2.348;72.4;-0.031;-0.033;5.3;4.6;-0.7164;0.03;0.003;0.078;0.033;0;0;5;5;5;2;4;2;0;0;;;;;;;;;;;;;;;;;;
5;2;CF3;3;A;2.57;-0.2508;-0.0332;197.71;-0.2508;-0.0332;197.71;10.2226;10.1116;10.2791;2.216;64.7;-0.004;-0.003;3.4;3.3;-0.0335;57.2679;2.328;74.4;0;0;6.4;6.4;-0.5629;0.015;0.015;0.075;0.087;4;3;3;2;0;5;1;3;3;3;;;;;;;;;;;;;;;;;;
6;5;NMe2;3;A;-10.55;-0.1642;0.0236;240.51;-0.1642;0.0236;240.51;11.0001;10.8571;31.2247;2.264;67.5;-0.016;-0.02;3.2;3.4;-0.1195;87.9161;2.373;73;-0.023;-0.027;4.2;4.5;-0.7786;0.023;0.023;-0.02;-0.023;3;1;2;4;1;1;4;4;4;0;;;;;;;;;;;;;;;;;;
7;3;Ph;3;A;-5.79;-0.189;-0.0477;239.2;-0.189;-0.0477;239.2;11.6013;11.3151;30.9492;2.266;68.2;-0.012;-0.013;4.6;5.1;-0.1049;85.9953;2.379;74.3;-0.015;-0.016;6.6;6.6;-0.7906;0.018;0.018;0.014;-0.013;0;1;4;0;3;4;0;1;2;4;;;;;;;;;;;;;;;;;;
8;2;C6F5;3;A;1.46;-0.21657;-0.07767;222.356;-0.21657;-0.07767;222.356;10.7466;10.6142;21.6514;2.686;65.2;-0.023;-0.02;4.8;4;-0.0493;65.0396;2.351;75.1;-0.019;-0.017;6.1;5.9;-0.6591;0.009;0.015;0.021;0.078;5;0;1;3;5;2;2;5;5;1;;;;;;;;;;;;;;;;;;
9;3;o-Tol;3;A;3.16;-0.18524;-0.0467;240.856;-0.18524;-0.0467;240.856;20.1185;20.8803;24.0843;2.271;69.4;-0.006;-0.007;6.9;7.2;-0.1057;76.786;2.372;75.5;-0.007;-0.01;6.5;6.7;-0.7417;0.052;0.04;-0.026;-0.024;0;1;4;0;3;4;0;1;2;4;;;;;;;;;;;;;;;;;;
10;3;p-Tol;3;A;-7.39;-0.18192;-0.04288;243.279;-0.18192;-0.04288;243.279;12.3574;12.4886;31.4895;2.268;68.4;-0.013;-0.016;4;5.5;-0.1112;85.5052;2.375;74.5;-0.018;-0.018;5.8;7.3;-0.8;0.019;0.021;0.009;-0.015;0;1;4;0;3;4;0;1;2;4;;;;;;;;;;;;;;;;;;
11;3;p-CF3-Ph;3;A;-3.56;-0.20834;-0.0767;228.712;-0.20834;-0.0767;228.712;12.88;13.80;25.8858;2.259;68.1;-0.008;-0.016;2.5;3.5;-0.085;80.59;2.373;74;-0.013;-0.018;5;5.4;-0.7524;0.02;0.019;0.041;-0.008;0;0;0;1;5;2;5;0;5;1;;;;;;;;;;;;;;;;;;
12;1;Me;4;B;-17.42;-0.1905;0.0327;233;-0.1905;0.0327;233;16.0441;14.7708;34.9006;2.271;82.6;-0.019;-0.019;4.5;4.7;-0.1313;100.005;2.388;88.4;-0.023;-0.023;6.4;6.3;-0.856;-0.007;-0.008;-0.058;-0.062;3;2;2;4;1;1;4;4;4;0;;;;;;;;;;;;;;;;;;
13;1;tBu;4;B;-16.09;-0.1788;0.0225;245.67;-0.1788;0.0225;245.67;29.0542;27.0888;39.878;2.296;85.7;-0.011;-0.012;2.2;2.2;-0.1044;99.1737;2.389;90.8;-0.006;-0.006;1.9;1.9;-0.7895;0.053;0.054;-0.036;-0.041;1;5;2;4;1;0;0;4;2;0;;;;;;;;;;;;;;;;;;
14;4;OMe;4;B;-21.69;-0.2013;0.0043;227.36;-0.2013;0.0043;227.36;12.7967;12.3763;31.8905;2.264;78.7;-0.027;-0.027;3.5;3.5;-0.1554;97.3545;2.385;86;-0.037;-0.033;4;3.9;-0.8614;-0.002;-0.013;-0.034;-0.032;3;2;2;4;2;3;4;4;4;0;;;;;;;;;;;;;;;;;;
15;4;OPh;4;B;-11.66;-0.19974;-0.0381;226.114;-0.19974;-0.0381;226.114;11.8379;12.97;23.0181;2.251;75.3;-0.021;-0.028;2.7;3.3;-0.1003;82.1707;2.367;85.4;-0.04;-0.032;4.5;3;-0.7837;-0.005;-0.005;0.068;-0.034;0;0;5;5;2;2;4;2;0;0;;;;;;;;;;;;;;;;;;
16;2;CF3;4;B;-12.48;-0.2508;-0.0332;197.71;-0.2508;-0.0332;197.71;11.563;10.8589;16.4318;2.226;76;-0.005;-0.005;2.9;3;-0.057;74.4661;2.348;87.3;-0.001;0;4.5;4.4;-0.6321;-0.012;-0.012;0.079;0.066;4;3;3;2;0;5;1;3;3;3;;;;;;;;;;;;;;;;;;
17;5;NMe2;4;B;-23.42;-0.1642;0.0236;240.51;-0.1642;0.0236;240.51;16.3076;16.0171;37.4126;2.278;82.5;-0.022;-0.021;3.2;3.2;-0.1191;95.0333;2.388;86.3;-0.024;-0.024;2.4;2.4;-0.7942;0.031;0.032;-0.052;-0.054;3;2;2;4;1;1;4;4;4;0;;;;;;;;;;;;;;;;;;
18;3;Ph;4;B;-15.86;-0.189;-0.0477;239.2;-0.189;-0.0477;239.2;17.075;16.0535;34.8937;2.274;81.8;-0.016;-0.016;4.1;4.1;-0.1073;94.4008;2.383;87.5;-0.014;-0.015;4;4;-0.7801;0.028;0.027;-0.037;-0.036;0;1;4;0;3;1;0;1;2;4;;;;;;;;;;;;;;;;;;
19;2;C6F5;4;B;-9.14;-0.21657;-0.07767;222.356;-0.21657;-0.07767;222.356;16.0083;15.4128;23.1166;2.696;80;-0.017;-0.018;2.4;2.5;-0.0709;80.6458;2.371;87.5;-0.015;-0.015;3.1;3.1;-0.7096;-0.003;-0.002;0.031;0.021;5;0;1;3;5;2;2;5;5;1;;;;;;;;;;;;;;;;;;
